Table S1. Identification and collection information for all specimens submitted to BOLD in this study.,,,,
NID #,Species name,Collection location,GenBank COI Acc. #,Other GenBank Accessions associated with the specimen
T43,Bakernema inaequale,"USA: Choccolocco Wildlife Management Area, Talladega National Forest, Cleburne County, Alabama",MN710597,
T59,Bakernema inaequale,"USA: High Falls Trail, Talladega National Forest, Clay County, Alabama",MN710598,
T60,Bakernema inaequale,"USA: High Falls Trail, Talladega National Forest, Clay County, Alabama",MN710599,
T123,Bakernema inaequale,"USA: Crane Hollow Preserve, Hocking County, Ohio",MN710600,
T125,Bakernema inaequale,"USA: Crane Hollow Preserve, Hocking County, Ohio",MN710601,
T176,Bakernema inaequale,"USA: Hyner Run State Park, Sproul State Forest, Clinton County, Pennsylvania",MN710602,
T183,Bakernema inaequale,"USA: Parker Dam State Park, Clearfield County, Pennsylvania",MN710603,
T184,Bakernema inaequale,"USA: Parker Dam State Park, Clearfield County, Pennsylvania",MN710604,
T185,Bakernema inaequale,"USA: Parker Dam State Park, Clearfield County, Pennsylvania",MN710605,
T187,Bakernema inaequale,"USA: Allegheny National Forest, Elk County, Pennsylvania",MN710606,
T189,Bakernema inaequale,"USA: Allegheny National Forest, Elk County, Pennsylvania",MN710607,
T210,Bakernema inaequale,"USA: Keystone State Park, Westmoreland County, Pennsylvania",MN710608,
T211,Bakernema inaequale,"USA: Keystone State Park, Westmoreland County, Pennsylvania",MN710609,
T227,Bakernema inaequale,"USA: Monongahela National Forest, Randolph County, West Virginia",MN710610,
T254,Bakernema inaequale,"USA: Cherokee National Forest, Polk County, Tennessee",MN710611,
N278,Bakernema inaequale,"USA: Grundy State Forest, Grundy County, Tennessee",KU236635,HM116037 (18S-3’)
T281,Bakernema inaequale,"USA: Crane Hollow Preserve, Hocking County, Ohio",MN710612,
T283,Bakernema inaequale,"USA: Michaux State Forest, Adams County, Pennsylvania",MN710613,
N285,Bakernema inaequale,"USA: Grundy State Forest, Grundy County, Tennessee",MN710614,
T285,Bakernema inaequale,"USA: S.B. Elliot State Park, Clearfield County, Pennsylvania",MN710615,
T286,Bakernema inaequale,"USA: S.B. Elliot State Park, Clearfield County, Pennsylvania",MN710616,
T289,Bakernema inaequale,"USA: Crane Hollow Preserve, Hocking County, Ohio",MN710617,
T293,Bakernema inaequale,"USA: Crane Hollow Preserve, Hocking County, Ohio",MN710618,
T300,Bakernema inaequale,"USA: Parker Dam State Park, Clearfield County, Pennsylvania",MN710619,
T303,Bakernema inaequale,"USA: Choccolocco Wildlife Management Area, Calhoun County, Alabama",MN710620,
T304,Bakernema inaequale,"USA: Talladega National Forest, Cleburne County, Alabama",MN710621,
T306,Bakernema inaequale,"USA: Talladega National Forest, Cleburne County, Alabama",MN710622,
T308,Bakernema inaequale,"USA: Choccolocco Wildlife Management Area, Calhoun County, Alabama",MN710623,
N309,Bakernema inaequale,"USA: Pachaug State Forest, New London County, Connecticut",MN710624,HM116042 (18S-3’)
N310,Bakernema inaequale,"USA: Pachaug State Forest, New London County, Connecticut",MN710625,HM116043 (18S-3’)
T312,Bakernema inaequale,"USA: High Falls Trail, Talladega National Forest, Clay County, Alabama",MN710626,
T313,Bakernema inaequale,"USA: Tuskegee National Forest, Macon County, Alabama",MN710627,
T315,Bakernema inaequale,"USA: Tuskegee National Forest, Macon County, Alabama",MN710628,
T317,Bakernema inaequale,"USA: Monongahela National Forest, Randolph County, West Virginia",MN710629,
T318,Bakernema inaequale,"USA: Monongahela National Forest, Randolph County, West Virginia",MN710630,
T321a,Bakernema inaequale,"USA: Missing Link Road, Green Mountain National Forest, Windham County, Vermont",MN710631,
T321b,Bakernema inaequale,"USA: Missing Link Road, Green Mountain National Forest, Windham County, Vermont",MN710632,
T322,Bakernema inaequale,"USA: Missing Link Road, Green Mountain National Forest, Windham County, Vermont",MN710633,
T324,Bakernema inaequale,"USA: Bump Road, Green Mountain National Forest, Windham County, Vermont",MN710634,
T325,Bakernema inaequale,"USA: Bump Road, Green Mountain National Forest, Windham County, Vermont",MN710635,
T333,Bakernema inaequale,"USA: White Mountain National Forest, Grafton County, New Hampshire",MN710636,
T334,Bakernema inaequale,"USA: White Mountain National Forest, Grafton County, New Hampshire",MN710637,
N566,Bakernema inaequale,"USA: Grundy State Forest, Grundy County, Tennessee",MN710638,
N723,Bakernema inaequale,"USA: Chimney Creek, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710639,
N891,Bakernema inaequale,"USA: Chimney Creek, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710640,
N1195,Bakernema inaequale,"USA: Long Branch Stream Valley Park, Accotink Creek Watershed, Fairfax County, Virgina",MN710641,
N1203,Bakernema inaequale,"USA: Long Branch Stream Valley Park, Accotink Creek Watershed, Fairfax County, Virgina",MN710642,
N1231,Bakernema inaequale,"USA: Pachaug State Forest, New London County, Connecticut",MF770896,MF094908 (NC18S)
N1353,Bakernema inaequale,"USA: Chimney Creek, Great Smoky Mountains National Park (GRSM), Sevier County, Tennessee",MN710643,
