ImageName,ImageText,Gender,General,Descr,Detail,Magnification,Location,Host,Species,ScientificName_accepted,ScientificName,Class,Order,Family,Genus
aagri1.jpg,"100 im
© Peter Mullin/2000
Aglenchus agricola
juvenile 100X
Haughton Crater
In oasis",juvenile,,,body,100X,Haughton Crater In oasis,,Aglenchus agricola,Aglenchus,Aglenchus,Chromadorea,Rhabditida,Tylenchidae,Aglenchus
aagri2.jpg,"20m
Aglenchus agricola
juvenile anterior 400X
Tenses Crater
in oasis
© Peter Mullin/2000",juvenile,,,anterior,400X,Haughton Crater In oasis,,Aglenchus agricola,Aglenchus,Aglenchus,Chromadorea,Rhabditida,Tylenchidae,Aglenchus
aagri3.jpg,"20m
ee
Aglenchus agricola
[Met el seeks © Peter Mulin’2000
rie Crater
In oasis",juvenile,,,tail,400X,Haughton Crater In oasis,,Aglenchus agricola,Aglenchus,Aglenchus,Chromadorea,Rhabditida,Tylenchidae,Aglenchus
aagri4.jpg,"10m
Aglenchus agricola
juvenile head ~1000X%
Haughton Crater
In oasis
© Peter Mullin/2000",juvenile,,,head,1000X,Haughton Crater In oasis,,Aglenchus agricola,Aglenchus,Aglenchus,Chromadorea,Rhabditida,Tylenchidae,Aglenchus
aagri5.jpg,"Aglenchus a aie
Fa lateral field 1000X meee kibe0
Haughton Crater
In oasis",juvenile,,,lateral field,1000X,Haughton Crater In oasis,,Aglenchus agricola,Aglenchus,Aglenchus,Chromadorea,Rhabditida,Tylenchidae,Aglenchus
aagro1.jpg,"Anguina agrostis
juvenile 100X%
laboratory specimen
——
100 fm
“~
© Peter Mullin/2001",juvenile,,,body,100X,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro10.jpg,"Anguina agrostis
Juvenile 40X
Laboratory specimen
—
100 im
© Peter Mullin/2001",juvenile,,,body,40X,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro11.jpg,"egg: agrostis
le
juvenile anterior 200X
Laboratory specimen",juvenile,,,anterior,200X,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro12.jpg,"uina agrostis
awe head 400K
Laboratory specimen
© Peter Mullin/2001",juvenile,,,head,40,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro13.jpg,"Anguina agrostis
juvenile tail 400X
Laboratory specimen
20m
© Peter Mullin/2001",juvenile,,,tail,40,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro14.jpg,"© Peter Mullin/2001
Pl
Tooum
Anguina agrostis
juvenile 40X
Laboratory specimen",juvenile,,,body,40,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro15.jpg,"Anguina ne
juvenle anterior 400X
Laboratory specimen
© Peter Mullin/2001",juvenile,,,anterior,40,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro16.jpg,"Anguina agrostis
juvenile tail +00X
Laboratory specimen
© Peter Mullin72001
20m",juvenile,,,tail,40,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro17.jpg,"Anguina agrostis
juvenile tail tip 1000X
Laboratory specimen
1pm
© Peter Mullin/2001",juvenile,,,tail tip,100,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro18.jpg,"Anguina agrostis
juvenile head” 1000X
Laboratory specimen
10m
© Peter Mullin/2001",juvenile,,,head,100,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro19.jpg,"Anguina agrostis
juvenile tail tip 1000X
Laboratory specimen
© Peter Mullin/2001",juvenile,,,tail tip,100,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro2.jpg,"Anguina agrostis
juvenile 100X%
laboratory specimen
100 im
© Peter Mullin/2001",juvenile,,,body,100X,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro20.jpg,"Anguina agrostis
juvenile” anterior 1000X
Laboratory specimen
© Teter Mulin/2001",juvenile,,,anterior,100,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro3.jpg,"50 um
Anguina agrostis
juvenile head 200X%
laboratory specimen
© Peter Mullin/2001",juvenile,,,head,200X,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro4.jpg,"Anguina agrostis
juvenile tail 200X
laboratory specimen
50m
© Peter Mullin/2001",juvenile,,,tail,200X,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro5.jpg,"Anguina agrostis
juvenile anterior +00X
laboratory specimen
20}m
© Peter Mullin/2001",juvenile,,,anterior,,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro6.jpg,"An guina agrostis
juvenile tall 400X
laboratory specimen
© Peter Mullin/2001",juvenile,,,tail,400X,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro7.jpg,"© Peter
llin/2001
Anguina agrostis
juvenile 100X
700 Hm
laboratory specimen [",juvenile,,,body,100X,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro8.jpg,"Anguina Precis
jevenile basal esophagus +00X
laboratory specimen
© Peter Mullin/2001",juvenile,,,basal esophagus,400x,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aagro9.jpg,"Anguina agrostis
juvenile tail 4+00X
laboratory specimen",juvenile,,,tail,,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina
aaven1.jpg,"A\phelenchus avenae
female tail 400X
Konza Prairie
fg bluestem Elucg acs
96 55"" 39No5
20m
© Peter Mullin/2000",female,,,tail,40,Konza Praire,Big bluestem/Bluegrass,Aphelenchus avenae,Aphelenchus,Aphelenchus,Chromadorea,Rhabditida,Aphelenchidae,Aphelenchus
aaven10.jpg,"Aphelenchus avenae
vulva 400X
Konza Prairie
Bigbluesten/
Little bluestem
96WW 35"" 39No5'
© Peter Mullin/2000",female,,,vulva,40,Konza Praire,Little bluestem,Aphelenchus avenae,Aphelenchus,Aphelenchus,Chromadorea,Rhabditida,Aphelenchidae,Aphelenchus
aaven11.jpg,"Aphelenchus avenae
female tail +400X
Konza Prairie
Big bluestem/|_ittle bluestem
96WW 35"" 39No5
20m
© Peter Mullin/2000",female,,,tail,40,Konza Praire,Big bluestem/|_ittle bluestem,Aphelenchus avenae,Aphelenchus,Aphelenchus,Chromadorea,Rhabditida,Aphelenchidae,Aphelenchus
aaven2.jpg,"Ap helenchus avenae
renfe head 1000X
Korea iiaive
Bless
96WW 35"" 39No5
1pm
© Peter Mullin/2000",juvenile,,,head,100,Konza Praire,Bluegrass,Aphelenchus avenae,Aphelenchus,Aphelenchus,Chromadorea,Rhabditida,Aphelenchidae,Aphelenchus
aaven3.jpg,"Aphelenchus avenae
juvenile median bulb 1000X
Konza Prairie
Blieg seo
96WW 35"" 39No5
10pm
© Peter Mullin/z000",juvenile,,,median bulb,100,Konza Praire,Bluegrass,Aphelenchus avenae,Aphelenchus,Aphelenchus,Chromadorea,Rhabditida,Aphelenchidae,Aphelenchus
aaven4.jpg,"© Peter Mullin/2000
96 35"" 39No5'
Aphelenchus avenae
Juvenile head 400X
onesie
Sig bluestany | jitlellucoter",juvenile,,,head,40,Konza Praire,Big bluestem/|_ittle bluestem,Aphelenchus avenae,Aphelenchus,Aphelenchus,Chromadorea,Rhabditida,Aphelenchidae,Aphelenchus
