ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,aagri4.jpg,Aglenchus agricola,juvenile,head,1000X,Haughton Crater In oasis,In oasis
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,aagri5.jpg,Aglenchus a,juvenile,lateral field,1000X,Haughton Crater In oasis,In oasis
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,aagro1.jpg,Anguina agrostis,juvenile,body,100X,Laboratory specimen,Laboratory specimen
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,T-nudus_h.jpg,0,0,0,000X,0,0
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,Acrobeles_ciliatus_head.jpg,aaaaa0,aaaaa,head,100X,Konza Praire,0
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,Acrobeles_ciliatus_head.jpg,aaa,aaa,aaa,aaa,aaa,0
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,Acrobeles_ciliatus_head.jpg,aaa,aaa,aaa,aaa,aaa,0
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,Acrobeles_ciliatus_head.jpg,aaa,aaa,aaa,aaa,aaa,0
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,Acrobeles_ciliatus_head.jpg,aaa,aaa,aaa,aaa,aaa,0
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,Acrobeles_ciliatus_head.jpg,aaa,aaa,aaa,aaa,aaa,0
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,Acrobeles_ciliatus_head.jpg,aaa,aaa,aaa,aaa,aaa,0
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,Acrobeles_ciliatus_head.jpg,aaa,aaa,aaa,aaa,aaa,0
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,Acrobeles_ciliatus_head.jpg,aaa,aaa,aaa,aaa,aaa,0
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,T-nudus_h.jpg,aaa,aaa,aaaa,aaa,aaa,aaa
ImageName, ImageText, Species, Gender, 'Detail, Magnification, Location, Host
,Acrobeles_ciliatus_head.jpg,aaa,aaa,aaa,aaa,aaa,aaa
