ScientificName,AphiaID,Match type,Qualitystatus,Taxon status,ScientificName,Authority,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial,Citation
Achromadora,153150,exact,Checked by Taxonomic Editor,accepted,Achromadora,"Cobb, 1913",153150,Achromadora,"Cobb, 1913",Animalia,Nematoda,Chromadorea,Chromadorida,Achromadoridae,Achromadora,,,,0,1,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Achromadora Cobb, 1913. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=153150 on 2022-06-30"
Acrobeles,582845,exact,Checked by Taxonomic Editor,accepted,Acrobeles,"von Linstow, 1877",582845,Acrobeles,"von Linstow, 1877",Animalia,Nematoda,Chromadorea,Rhabditida,Cephalobidae,Acrobeles,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Acrobeles von Linstow, 1877. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582845 on 2022-06-30"
Acrobeloides,582846,exact,Checked by Taxonomic Editor,accepted,Acrobeloides,"(Cobb, 1924) Thorne, 1937",582846,Acrobeloides,"(Cobb, 1924) Thorne, 1937",Animalia,Nematoda,Chromadorea,Rhabditida,Cephalobidae,Acrobeloides,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Acrobeloides (Cobb, 1924) Thorne, 1937. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582846 on 2022-06-30"
Acrolobus,1318955,exact,Checked by Taxonomic Editor,accepted,Acrolobus,"Boström, 1985",1318955,Acrolobus,"Boström, 1985",Animalia,Nematoda,Chromadorea,Rhabditida,Cephalobidae,Acrolobus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Acrolobus Boström, 1985. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1318955 on 2022-06-30"
Acrostichus,1294005,exact,Checked by Taxonomic Editor,accepted,Acrostichus,"Rahm, 1928",1294005,Acrostichus,"Rahm, 1928",Animalia,Nematoda,Chromadorea,Rhabditida,Diplogastridae,Acrostichus,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Acrostichus Rahm, 1928. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1294005 on 2022-06-30"
Actinca,1293996,exact,Checked by Taxonomic Editor,accepted,Actinca,"Andrássy, 1964",1293996,Actinca,"Andrássy, 1964",Animalia,Nematoda,Enoplea,Dorylaimida,Actinolaimidae,Actinca,,,,0,0,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Actinca Andrássy, 1964. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1293996 on 2022-06-30"
Aglenchus,153400,exact,Checked by Taxonomic Editor,accepted,Aglenchus,"Andrássy, 1954",153400,Aglenchus,"Andrássy, 1954",Animalia,Nematoda,Chromadorea,Rhabditida,Tylenchidae,Aglenchus,,,,0,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Aglenchus Andrássy, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=153400 on 2022-06-30"
Akrotonus,1475921,exact,Checked by Taxonomic Editor,accepted,Akrotonus,"Thorne, 1974",1475921,Akrotonus,"Thorne, 1974",Animalia,Nematoda,Enoplea,Dorylaimida,Aporcelaimidae,Akrotonus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Akrotonus Thorne, 1974. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1475921 on 2022-06-30"
Alaimus,227387,exact,Checked by Taxonomic Editor,accepted,Alaimus,"de Man, 1880",227387,Alaimus,"de Man, 1880",Animalia,Nematoda,Enoplea,Enoplida,Alaimidae,Alaimus,,,,,,1,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Alaimus de Man, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=227387 on 2022-06-30"
Allodorylaimus,889760,exact,Checked by Taxonomic Editor,accepted,Allodorylaimus,"Andrássy, 1986",889760,Allodorylaimus,"Andrássy, 1986",Animalia,Nematoda,Enoplea,Dorylaimida,Qudsianematidae,Allodorylaimus,,,,0,0,0,1,"Nemys eds. (2022). Nemys: World Database of Nematodes. Allodorylaimus Andrássy, 1986. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=889760 on 2022-06-30"
